Applicant.ID,Job.ID,Title,Position,Company,City,State.Name,State.Code,Industry,View.Start,View.End,View.Duration,Created.At,Updated.At
11802,129850,Warehouse Worker (Loader) PT (Mon-Fri 2pm-9pm) Job @ NAPA,Warehouse Worker (Loader) PT (Mon-Fri 2pm-9pm) Job,NAPA,Jacksonville,Florida,FL,NA,2015-01-09 17:48:51 UTC,2015-01-09 17:49:14 UTC,23,2015-01-09 17:48:51 UTC,2015-01-09 17:48:51 UTC
11802,146195,"Delivery Driver (PT) Middleburg, FL Job @ NAPA","Delivery Driver (PT) Middleburg, FL Job",NAPA,Middleburg,Florida,FL,NA,2015-01-09 17:50:27 UTC,2015-01-09 17:50:49 UTC,21,2015-01-09 17:50:27 UTC,2015-01-09 17:50:27 UTC
11802,146195,"Delivery Driver (PT) Middleburg, FL Job @ NAPA","Delivery Driver (PT) Middleburg, FL Job",NAPA,Middleburg,Florida,FL,NA,2015-01-09 17:50:59 UTC,2015-01-09 17:50:59 UTC,0,2015-01-09 17:50:59 UTC,2015-01-09 17:50:59 UTC
11802,180490,Delivery Driver (Part -Time) - Middleburg 022 Job @ NAPA,Delivery Driver (Part -Time) - Middleburg 022 Job,NAPA,Middleburg,Florida,FL,NA,2015-01-09 17:51:13 UTC,2015-01-09 17:51:17 UTC,3,2015-01-09 17:51:13 UTC,2015-01-09 17:51:13 UTC
11802,180490,Delivery Driver (Part -Time) - Middleburg 022 Job @ NAPA,Delivery Driver (Part -Time) - Middleburg 022 Job,NAPA,Middleburg,Florida,FL,NA,2015-01-09 17:51:32 UTC,2015-01-09 17:51:40 UTC,8,2015-01-09 17:51:32 UTC,2015-01-09 17:51:32 UTC
11802,180490,Delivery Driver (Part -Time) - Middleburg 022 Job @ NAPA,Delivery Driver (Part -Time) - Middleburg 022 Job,NAPA,Middleburg,Florida,FL,NA,2015-01-09 17:51:46 UTC,2015-01-09 17:51:50 UTC,3,2015-01-09 17:51:46 UTC,2015-01-09 17:51:46 UTC
11802,180490,Delivery Driver (Part -Time) - Middleburg 022 Job @ NAPA,Delivery Driver (Part -Time) - Middleburg 022 Job,NAPA,Middleburg,Florida,FL,NA,2015-01-09 17:51:49 UTC,,NA,2015-01-09 17:51:49 UTC,2015-01-09 17:51:49 UTC
11802,129850,Warehouse Worker (Loader) PT (Mon-Fri 2pm-9pm) Job @ NAPA,Warehouse Worker (Loader) PT (Mon-Fri 2pm-9pm) Job,NAPA,Jacksonville,Florida,FL,NA,2015-01-09 17:52:01 UTC,2015-01-09 17:52:07 UTC,6,2015-01-09 17:52:01 UTC,2015-01-09 17:52:01 UTC
11802,129850,Warehouse Worker (Loader) PT (Mon-Fri 2pm-9pm) Job @ NAPA,Warehouse Worker (Loader) PT (Mon-Fri 2pm-9pm) Job,NAPA,Jacksonville,Florida,FL,NA,2015-01-09 17:52:40 UTC,2015-01-09 17:52:46 UTC,6,2015-01-09 17:52:40 UTC,2015-01-09 17:52:40 UTC
11802,146195,"Delivery Driver (PT) Middleburg, FL Job @ NAPA","Delivery Driver (PT) Middleburg, FL Job",NAPA,Middleburg,Florida,FL,NA,2015-01-09 17:49:28 UTC,2015-01-09 17:49:36 UTC,7,2015-01-09 17:49:28 UTC,2015-01-09 17:49:28 UTC
